ID,Transaction Time,Transaction Type,Channel,Is 3DS,Is Token,Decision,Decline Reason Code,Issuer Name,Issuer Country,Issuer Region,Funding source,Acquirer Name,Acquirer Country,Acquirer Region,Jurisdiction,Is Dispute,Is Fraud,Dispute Type,Amount,Industry Segment
T16228720604027,2024-04-20T12:03:26.000Z,Contactless,CP,No,Yes,Approved,Approved,ICICI Bank Ltd,INDIA,APAC,Credit ,CHAINA MERCHANTS BANK,CHAINA MAINLAND,APAC,Domstic,0,0,No Dispute,208.8086883,Clothing stores
T46135739767589,2024-02-25T07:29:32.000Z,Chip,CP,No,No,Approved,Approved,"BANK OF AMERICA, NATIONAL ASSOCIATION ",UNITED STATES OF AMERICA,USA,Debit ,"TD BANK, NATIONAL ASSOCIATION ",UNITED STATES OF AMERICA,USA,Domstic,0,0,No Dispute,327.5410635,Miscellaneous stores
T54417922849571,2024-01-06T22:50:37.000Z,Chip,CP,No,No,Approved,Approved,"BANK OF AMERICA, NATIONAL ASSOCIATION ",UNITED STATES OF AMERICA,USA,Debit ,"PNC BANK, NATIONAL ASSOCIATION ",UNITED STATES OF AMERICA,USA,Domestic,0,0,No Dispute,279.6679713,Contracted services
T68918324506358,2024-06-04T17:15:03.000Z,Chip,CP,No,No,Approved,Approved,KASPI BANK JSC,KAZAKHSTAN,CEMEA,Debit ,KASPI BANK JSC,KAZAKHSTAN,CEMEA,Domstic,0,0,No Dispute,143.2992055,Retail outlet services
T68306269608296,2024-02-16T13:13:23.000Z,Chip,CP,No,No,Approved,Approved,THE TORONTO-DOMINION BANK ,CANADA,CANADA,Credit ,HOME TRUST COMPANY ,CANADA,CANADA,Domestic,0,0,No Dispute,363.5691661,Contracted services
T92162912154832,2024-04-07T22:15:34.000Z,Chip,CP,No,No,Approved,Approved,BANCO DEL ESTADO DE CHILE ,CHILE,LAC,Debit ,BANCO MACRO S.A. ,ARGENTINA,LAC,Domstic,0,0,No Dispute,139.9285302,Clothing stores
T65742518562525,2024-03-25T04:48:01.000Z,Contactless,CP,No,Yes,Approved,Approved,DEUTSCHE KREDITBANK AG ,GERMANY,EUROPE,Credit ,BARCLAYS BANK UK PLC ,UNITED KINGDOM,EUROPE,Domestic,0,0,No Dispute,267.2962816,Miscellaneous stores
T84203074725821,2024-04-07T14:43:58.000Z,Chip,CP,No,No,Approved,Approved,"WELLS FARGO BANK, NATIONAL ASSOCIATION ",UNITED STATES OF AMERICA,USA,Debit ,USAA FEDERAL SAVINGS BANK  ,UNITED STATES OF AMERICA,USA,Domestic,0,0,No Dispute,215.0618406,Business services
T44071252558448,2024-05-20T10:43:46.000Z,Chip,CP,No,No,Approved,Approved,LLOYDS BANK PLC H,UNITED KINGDOM,EUROPE,Credit ,BPCE,FRANCE,EUROPE,Domestic,0,0,No Dispute,317.1787349,Retail outlet services
T90796199275236,2024-02-14T13:11:38.000Z,Chip,CP,No,No,Approved,Approved,NATIONWIDE BUILDING SOCIETY ,UNITED KINGDOM,EUROPE,Debit ,THE GOVERNOR AND COMPANY OF THE BANK OF IRELAND ,SWEDEN,EUROPE,Domstic,0,0,No Dispute,38.94689183,Contracted services
T49678605056222,2024-05-03T19:48:42.000Z,ECI-7,CNP,No,No,Approved,Approved,JPMORGAN CHASE BANK N.A ,UNITED STATES OF AMERICA,USA,Credit ,"STRIDE BANK, NATIONAL ASSOCIATION ",UNITED STATES OF AMERICA,USA,Domestic,1,0,Non-Fraud Dispute,358.9153324,Contracted services
T42669777359962,2024-02-03T13:56:09.000Z,ECI-5,CNP,Yes,No,Approved,Approved,BANCO DO BRASIL S.A. ,BRAZIL,LAC,Credit ,NEON PAGAMENTOS S.A. ,BRAZIL,LAC,Domstic,0,0,No Dispute,134.0729937,Contracted services
T56322014719738,2024-05-25T00:45:25.000Z,Chip,CP,No,No,Approved,Approved,JSC CB PRIVATBANK,UKRAINE,CEMEA,Debit ,DISCOVERY BANK LIMITED,SOUTH AFRICA,CEMEA,Domestic,0,0,No Dispute,147.1032231,Business services
T22865076977886,2024-01-03T03:34:15.000Z,Chip,CP,No,No,Approved,Approved,ROYAL BANK OF CANADA ,CANADA,CANADA,Debit ,LA FEDERATION DES CAISSES DESJARDINS DU QUEBEC,CANADA,CANADA,Domstic,0,0,No Dispute,589.4541111,Clothing stores
T16360133423064,2024-04-19T16:18:24.000Z,Chip,CP,No,No,Approved,Approved,BANCO SANTANDER S.A. ,BRAZIL,LAC,Debit ,EQUITABLE BANK ,CANADA,CANADA,Cross Border,0,0,No Dispute,72.03317292,Clothing stores
T51974437659161,2024-03-08T01:18:45.000Z,Recurring,CNP,No,No,Approved,Approved,U.S. BANK NATIONAL ASSOCIATION ,UNITED STATES OF AMERICA,USA,Credit ,JPMORGAN CHASE BANK N.A ,UNITED STATES OF AMERICA,USA,Domestic,0,0,No Dispute,169.3125611,Clothing stores
T12687181098876,2024-06-26T04:45:17.000Z,Chip,CP,No,No,Approved,Approved,JPMORGAN CHASE BANK N.A ,UNITED STATES OF AMERICA,USA,Debit ,"BANCO DE GALICIA Y BUENOS AIRES, S.A. ",ARGENTINA,LAC,Cross Border,0,0,No Dispute,358.3453955,Business services
T59935649408776,2024-06-28T12:24:53.000Z,ECI-7,CNP,No,No,Approved,Approved,JPMORGAN CHASE BANK N.A ,UNITED STATES OF AMERICA,USA,Debit ,JSC CB PRIVATBANK,UKRAINE,CEMEA,Cross Border,0,0,No Dispute,284.1295202,Retail outlet services
T39227083439824,2024-05-27T00:17:00.000Z,Chip,CP,No,No,Approved,Approved,NATIONAL AUSTRALIA BANK LIMITED ,AUSTRALIA,APAC,Credit ,ING BANK (AUSTRALIA) LIMITED ,AUSTRALIA,APAC,Domestic,0,0,No Dispute,238.8303087,Contracted services
T9054336962333,2024-01-30T06:09:33.000Z,Recurring,CNP,No,No,Approved,Approved,POWSZECHNA KASA OSZCZEDNOSCI BANK POLSKI SA ,POLAND,EUROPE,Debit ,THE GOVERNOR AND COMPANY OF THE BANK OF IRELAND ,SWEDEN,EUROPE,Domestic,0,0,No Dispute,338.4297811,Utility services
T67544579388134,2024-05-31T13:53:41.000Z,ECI-7,CNP,No,No,Approved,Approved,"PNC BANK, NATIONAL ASSOCIATION ",UNITED STATES OF AMERICA,USA,Debit ,JPMORGAN CHASE BANK N.A ,UNITED STATES OF AMERICA,USA,Domestic,0,0,No Dispute,109.9834227,Business services
T94175938819559,2024-03-17T02:11:08.000Z,Chip,CP,No,No,Approved,Approved,THE GOVERNOR AND COMPANY OF THE BANK OF IRELAND ,SWEDEN,EUROPE,Debit ,BARCLAYS BANK UK PLC ,UNITED KINGDOM,EUROPE,Domestic,0,0,No Dispute,91.74764118,Miscellaneous stores
T41829340460427,2024-06-06T13:32:31.000Z,ECI-7,CNP,No,No,Approved,Approved,BANCO DO BRASIL S.A. ,BRAZIL,LAC,Debit ,NEON PAGAMENTOS S.A. ,BRAZIL,LAC,Domestic,0,0,No Dispute,35.71122543,Retail outlet services
T30917027355180,2024-06-08T19:46:58.000Z,ECI-7,CNP,No,No,Approved,Approved,CAIXA ECONOMICA FEDERAL ,BRAZIL,LAC,Credit ,BANCO MACRO S.A. ,ARGENTINA,LAC,Domestic,0,0,No Dispute,511.2713844,Contracted services
