InvoiceID,InvoiceDate,BusinessUnit,Region,Vendor,VendorPerformanceScore,ContractType,PaymentTermsDays,Quantity,UnitCost,BudgetAmount,ActualInvoiceAmount,VarianceAmount,DaysLate,InvoiceStatus
INV00017,2025-03-28,BU_IT,North America,Vendor_36,56.7,Time & Materials,15,61,44.03,2785.22,3045.63,260.41,0,Paid
INV00018,2025-07-16,BU_IT,APAC,Vendor_50,48.6,Time & Materials,15,55,17.24,948.91,1087.21,138.3,0,Paid
INV00019,2025-03-21,BU_Fabrication,LATAM,Vendor_47,68.1,Fixed Price,30,47,46.42,2266.38,2363.03,96.65,6,Pending
INV00020,2024-09-24,BU_R&D,LATAM,Vendor_33,74.8,Time & Materials,15,58,40.37,2322.68,2390.75,68.08,0,Paid
INV00021,2025-05-04,BU_IT,LATAM,Vendor_39,55.1,Fixed Price,15,56,5.79,333.57,352.1,18.52,0,Paid
INV00022,2025-01-05,BU_Logistics,North America,Vendor_37,78.1,Time & Materials,15,49,65.46,3242.5,3390.17,147.67,0,Paid
INV00023,2024-09-05,BU_IT,APAC,Vendor_09,68.0,Time & Materials,60,49,25.93,1264.27,1496.22,231.95,4,Pending
INV00024,2025-04-28,BU_IT,EMEA,Vendor_14,46.3,Time & Materials,45,51,51.26,2722.97,3025.43,302.46,0,Paid
INV00025,2025-01-07,BU_Sales,LATAM,Vendor_42,77.6,Fixed Price,60,48,55.6,2735.7,2873.79,138.09,0,Paid
INV00026,2024-12-05,BU_Logistics,North America,Vendor_02,72.9,Fixed Price,30,51,46.85,2482.62,2514.96,32.34,0,Paid
INV00027,2024-09-06,BU_Fabrication,North America,Vendor_03,84.7,Time & Materials,15,61,28.49,1743.03,1793.94,50.91,0,Paid
INV00028,2025-07-09,BU_Sales,North America,Vendor_09,68.0,Time & Materials,60,52,40.42,2124.25,2467.91,343.66,0,Paid
INV00029,2024-12-03,BU_Sales,LATAM,Vendor_13,78.6,Fixed Price,45,42,54.65,2283.03,2392.12,109.08,0,Paid
INV00030,2025-02-27,BU_Sales,LATAM,Vendor_04,97.8,Time & Materials,90,54,67.62,3576.54,3876.0,299.46,4,Pending
INV00031,2025-02-23,BU_R&D,LATAM,Vendor_07,98.7,Fixed Price,15,55,15.74,871.55,902.32,30.77,0,Paid
INV00032,2025-03-05,BU_Logistics,North America,Vendor_16,66.6,Time & Materials,15,54,63.51,3523.87,3957.4,433.53,0,Paid
INV00033,2025-05-09,BU_Fabrication,North America,Vendor_35,87.3,Time & Materials,90,53,23.69,1263.03,1375.28,112.25,0,Paid
INV00034,2024-11-30,BU_Logistics,EMEA,Vendor_31,66.0,Fixed Price,30,50,37.36,1857.1,1964.62,107.52,4,Pending
INV00035,2025-02-11,BU_Fabrication,LATAM,Vendor_17,59.8,Time & Materials,45,48,37.5,1868.93,2029.57,160.64,10,Pending
INV00036,2025-07-23,BU_IT,APAC,Vendor_32,100.0,Fixed Price,30,44,12.92,574.48,599.85,25.36,0,Paid
INV00037,2025-05-24,BU_IT,North America,Vendor_21,97.0,Fixed Price,30,47,6.87,334.89,337.28,2.39,0,Paid
INV00038,2025-04-29,BU_Logistics,North America,Vendor_33,74.8,Fixed Price,15,54,48.38,2632.09,2678.24,46.15,0,Paid
INV00039,2025-07-12,BU_Logistics,EMEA,Vendor_37,78.1,Fixed Price,30,43,55.58,2443.5,2505.94,62.44,0,Paid
INV00040,2025-03-03,BU_IT,APAC,Vendor_21,97.0,Time & Materials,30,48,56.73,2862.27,3037.47,175.2,0,Paid
INV00041,2024-12-01,BU_R&D,EMEA,Vendor_43,73.3,Time & Materials,30,57,61.8,3594.71,3751.58,156.87,0,Paid
INV00042,2024-09-07,BU_Fabrication,EMEA,Vendor_37,78.1,Time & Materials,15,49,59.94,2979.81,3032.66,52.86,0,Paid
INV00043,2024-12-14,BU_Logistics,LATAM,Vendor_05,71.5,Time & Materials,30,52,31.06,1608.43,1693.94,85.51,0,Paid
INV00044,2025-05-06,BU_R&D,APAC,Vendor_42,77.6,Fixed Price,45,40,11.9,465.61,500.72,35.11,0,Paid
INV00045,2025-07-06,BU_Fabrication,LATAM,Vendor_09,68.0,Fixed Price,60,61,14.03,863.25,944.01,80.76,0,Paid
INV00046,2024-10-19,BU_R&D,North America,Vendor_14,46.3,Time & Materials,30,39,11.77,473.35,524.21,50.86,0,Paid
INV00047,2024-12-14,BU_IT,EMEA,Vendor_04,97.8,Fixed Price,30,39,64.46,2493.56,2457.73,-35.83,0,Paid
INV00048,2024-08-02,BU_R&D,APAC,Vendor_41,86.1,Time & Materials,15,57,30.83,1782.03,1906.61,124.58,0,Paid
INV00049,2025-07-28,BU_Sales,APAC,Vendor_08,86.5,Fixed Price,60,50,14.31,717.85,789.91,72.06,0,Paid
INV00050,2025-05-07,BU_Fabrication,LATAM,Vendor_38,45.6,Fixed Price,30,70,25.6,1815.57,1941.12,125.55,3,Pending
INV00051,2025-02-03,BU_Fabrication,LATAM,Vendor_14,46.3,Time & Materials,45,61,64.08,3926.73,4282.06,355.33,6,Pending
INV00052,2025-05-14,BU_Sales,LATAM,Vendor_48,90.9,Fixed Price,60,61,43.31,2650.3,2751.04,100.74,0,Paid
INV00053,2024-10-30,BU_Sales,North America,Vendor_48,90.9,Time & Materials,45,50,37.46,1923.87,2003.57,79.7,0,Paid
INV00054,2025-07-09,BU_Logistics,North America,Vendor_45,52.8,Fixed Price,60,56,32.93,1924.2,2117.81,193.61,0,Paid
INV00055,2024-11-22,BU_Logistics,LATAM,Vendor_30,70.6,Fixed Price,60,53,64.29,3494.61,3497.95,3.34,0,Paid
INV00056,2024-11-23,BU_Fabrication,APAC,Vendor_26,76.7,Fixed Price,60,46,56.82,2666.08,2908.54,242.45,0,Paid
INV00057,2024-12-21,BU_R&D,APAC,Vendor_26,76.7,Time & Materials,60,59,29.91,1818.81,2075.65,256.83,0,Paid
INV00058,2024-08-15,BU_Fabrication,LATAM,Vendor_17,59.8,Fixed Price,90,48,49.84,2514.31,2796.7,282.39,6,Pending
INV00059,2024-09-25,BU_IT,EMEA,Vendor_47,68.1,Time & Materials,30,53,21.23,1107.87,1181.36,73.49,0,Paid
INV00060,2024-09-29,BU_Sales,LATAM,Vendor_13,78.6,Fixed Price,45,62,32.01,2005.18,2058.69,53.52,7,Pending
INV00061,2025-05-03,BU_Logistics,EMEA,Vendor_05,71.5,Time & Materials,60,47,21.77,1024.62,1096.06,71.44,0,Paid
INV00062,2025-07-06,BU_Fabrication,APAC,Vendor_20,53.8,Fixed Price,45,62,42.84,2685.44,2928.44,243.0,2,Pending
INV00063,2025-07-23,BU_R&D,APAC,Vendor_13,78.6,Fixed Price,60,43,11.18,488.3,532.81,44.51,0,Paid
INV00064,2024-10-29,BU_IT,APAC,Vendor_26,76.7,Fixed Price,15,55,48.86,2703.32,2823.02,119.7,0,Paid
INV00065,2025-03-09,BU_IT,APAC,Vendor_21,97.0,Fixed Price,30,37,55.19,2106.6,2167.81,61.21,0,Paid
INV00066,2025-03-31,BU_Logistics,APAC,Vendor_19,61.4,Fixed Price,45,51,25.99,1395.71,1528.33,132.62,2,Pending
INV00067,2024-11-29,BU_R&D,North America,Vendor_13,78.6,Fixed Price,15,61,36.96,2256.79,2184.29,-72.51,0,Paid
INV00068,2025-06-09,BU_Fabrication,EMEA,Vendor_41,86.1,Fixed Price,45,46,8.29,380.74,375.76,-4.98,0,Paid
INV00069,2025-02-21,BU_Logistics,North America,Vendor_45,52.8,Fixed Price,45,47,63.37,3090.7,3275.65,184.95,0,Paid
INV00070,2024-09-24,BU_Sales,North America,Vendor_45,52.8,Fixed Price,15,39,45.79,1805.67,1971.14,165.47,4,Pending
INV00071,2024-10-02,BU_Sales,North America,Vendor_30,70.6,Time & Materials,90,53,11.64,621.35,666.32,44.96,0,Paid
INV00072,2025-03-15,BU_IT,LATAM,Vendor_33,74.8,Fixed Price,60,46,59.72,2804.57,2898.19,93.62,0,Paid
INV00073,2024-10-21,BU_Sales,EMEA,Vendor_49,80.2,Fixed Price,45,41,66.36,2789.96,2749.56,-40.4,0,Paid
INV00074,2025-04-24,BU_Sales,APAC,Vendor_18,79.7,Fixed Price,45,52,22.05,1154.49,1213.85,59.35,0,Paid
INV00075,2025-01-19,BU_R&D,LATAM,Vendor_06,71.5,Fixed Price,30,47,36.15,1722.4,1669.89,-52.51,0,Paid
INV00076,2025-07-28,BU_Logistics,North America,Vendor_27,57.7,Fixed Price,30,53,36.52,1948.85,2067.62,118.78,2,Pending
INV00077,2025-03-04,BU_Sales,LATAM,Vendor_38,45.6,Time & Materials,15,58,47.24,2873.47,2990.04,116.57,0,Paid
INV00078,2025-05-22,BU_Sales,EMEA,Vendor_23,76.0,Fixed Price,30,48,54.66,2685.21,2690.01,4.8,0,Paid
INV00079,2025-03-03,BU_IT,APAC,Vendor_35,87.3,Time & Materials,60,43,53.98,2379.32,2680.9,301.58,0,Paid
INV00080,2024-12-18,BU_Sales,EMEA,Vendor_25,66.8,Fixed Price,45,44,15.81,717.29,775.18,57.88,0,Paid
INV00081,2024-10-24,BU_Sales,LATAM,Vendor_40,78.0,Fixed Price,60,51,60.97,3146.46,3175.53,29.07,0,Paid
INV00082,2025-07-06,BU_Fabrication,North America,Vendor_28,80.6,Fixed Price,30,50,49.01,2421.95,2422.73,0.78,8,Pending
INV00083,2025-02-11,BU_R&D,North America,Vendor_21,97.0,Fixed Price,60,42,46.37,1989.87,2069.97,80.1,0,Paid
INV00084,2025-03-04,BU_R&D,LATAM,Vendor_31,66.0,Fixed Price,30,47,52.03,2497.7,2623.7,126.0,0,Paid
INV00085,2025-01-27,BU_Logistics,APAC,Vendor_50,48.6,Time & Materials,15,48,15.82,767.81,861.06,93.25,7,Pending
INV00086,2024-12-05,BU_Logistics,LATAM,Vendor_40,78.0,Fixed Price,15,62,28.45,1822.51,1820.48,-2.03,0,Paid
INV00087,2025-05-16,BU_Logistics,EMEA,Vendor_17,59.8,Time & Materials,15,43,36.98,1623.57,1827.56,203.99,0,Paid
INV00088,2024-09-28,BU_Logistics,LATAM,Vendor_07,98.7,Fixed Price,60,63,16.37,1090.75,1174.64,83.89,0,Paid
INV00089,2025-02-09,BU_Sales,LATAM,Vendor_13,78.6,Fixed Price,45,49,62.11,3151.57,3311.59,160.02,0,Paid
INV00090,2024-09-22,BU_R&D,LATAM,Vendor_39,55.1,Time & Materials,45,49,27.64,1353.9,1430.94,77.04,0,Paid
INV00091,2024-08-22,BU_R&D,EMEA,Vendor_43,73.3,Fixed Price,30,52,29.58,1543.82,1497.42,-46.4,0,Paid
INV00092,2025-03-04,BU_Sales,North America,Vendor_24,53.6,Time & Materials,60,50,16.56,799.96,911.09,111.13,0,Paid
INV00093,2025-03-11,BU_Logistics,APAC,Vendor_42,77.6,Fixed Price,60,63,37.82,2454.66,2636.34,181.69,0,Paid
INV00094,2025-04-05,BU_Sales,EMEA,Vendor_47,68.1,Fixed Price,30,53,50.44,2737.5,2893.85,156.35,2,Pending
INV00095,2024-09-14,BU_R&D,LATAM,Vendor_16,66.6,Time & Materials,30,50,10.0,524.85,544.26,19.41,0,Paid
INV00096,2025-01-20,BU_Fabrication,EMEA,Vendor_21,97.0,Fixed Price,30,49,18.05,907.33,902.71,-4.62,0,Paid
INV00097,2025-01-22,BU_R&D,LATAM,Vendor_45,52.8,Time & Materials,30,66,19.64,1367.55,1516.22,148.67,0,Paid
INV00098,2024-11-06,BU_Fabrication,North America,Vendor_27,57.7,Fixed Price,45,45,10.42,479.39,506.91,27.51,0,Paid
INV00099,2025-06-27,BU_Sales,EMEA,Vendor_02,72.9,Fixed Price,30,43,20.69,900.61,913.41,12.81,0,Paid
INV00100,2025-01-04,BU_IT,EMEA,Vendor_36,56.7,Fixed Price,30,59,46.18,2743.24,2856.41,113.17,0,Paid
INV00101,2025-01-17,BU_R&D,APAC,Vendor_18,79.7,Fixed Price,30,62,12.0,740.54,783.85,43.31,0,Paid
INV00102,2025-01-09,BU_Fabrication,APAC,Vendor_49,80.2,Time & Materials,15,58,21.22,1287.58,1332.56,44.99,0,Paid
INV00103,2024-12-20,BU_IT,LATAM,Vendor_34,59.1,Fixed Price,90,46,27.1,1314.03,1464.12,150.09,0,Paid
INV00104,2024-12-30,BU_Logistics,EMEA,Vendor_20,53.8,Fixed Price,30,57,57.01,3377.62,3578.19,200.57,3,Pending
INV00105,2024-08-28,BU_IT,North America,Vendor_09,68.0,Time & Materials,45,52,22.15,1170.81,1276.61,105.8,2,Pending
INV00106,2024-08-07,BU_IT,North America,Vendor_31,66.0,Fixed Price,15,63,40.31,2611.1,2678.85,67.75,3,Pending
INV00107,2025-04-02,BU_Fabrication,LATAM,Vendor_26,76.7,Fixed Price,30,60,39.26,2426.88,2419.21,-7.67,0,Paid
INV00108,2024-10-17,BU_Logistics,LATAM,Vendor_20,53.8,Fixed Price,30,48,11.06,546.81,571.68,24.87,0,Paid
INV00109,2025-03-02,BU_IT,APAC,Vendor_40,78.0,Fixed Price,30,39,18.82,737.12,786.38,49.26,0,Paid
INV00110,2025-03-15,BU_R&D,LATAM,Vendor_28,80.6,Fixed Price,45,47,33.4,1616.91,1622.89,5.98,0,Paid
INV00111,2024-09-20,BU_Logistics,APAC,Vendor_17,59.8,Time & Materials,15,56,9.54,528.91,597.62,68.7,4,Pending
INV00112,2024-09-08,BU_Logistics,North America,Vendor_29,66.0,Time & Materials,30,56,45.48,2518.46,2724.96,206.49,6,Pending
INV00113,2024-12-26,BU_R&D,APAC,Vendor_30,70.6,Fixed Price,30,63,58.51,3743.02,3972.43,229.41,0,Paid
INV00114,2025-06-17,BU_IT,APAC,Vendor_13,78.6,Fixed Price,30,56,45.3,2630.03,2759.38,129.35,0,Paid
INV00115,2024-12-15,BU_Logistics,North America,Vendor_11,68.0,Time & Materials,30,45,21.66,996.65,1095.25,98.6,0,Paid
INV00116,2024-12-26,BU_Sales,North America,Vendor_45,52.8,Fixed Price,30,50,56.36,2927.11,3072.52,145.42,2,Pending
INV00117,2025-05-04,BU_Sales,EMEA,Vendor_39,55.1,Fixed Price,30,41,51.74,2125.75,2245.35,119.6,7,Pending
INV00118,2024-12-07,BU_Fabrication,North America,Vendor_44,70.5,Time & Materials,30,60,56.29,3493.2,3601.28,108.08,0,Paid
INV00119,2025-07-11,BU_R&D,APAC,Vendor_49,80.2,Time & Materials,30,48,35.25,1713.35,1818.02,104.67,0,Paid
INV00120,2024-12-21,BU_Logistics,LATAM,Vendor_28,80.6,Time & Materials,30,49,23.75,1180.13,1196.54,16.41,3,Pending
INV00121,2025-01-26,BU_Sales,EMEA,Vendor_43,73.3,Fixed Price,15,49,49.08,2442.69,2440.27,-2.42,0,Paid
INV00122,2025-04-11,BU_R&D,APAC,Vendor_26,76.7,Time & Materials,30,53,66.34,3668.6,4044.35,375.75,0,Paid
INV00123,2025-01-09,BU_R&D,EMEA,Vendor_50,48.6,Fixed Price,30,51,15.8,812.98,851.39,38.42,0,Paid
INV00124,2025-07-03,BU_IT,EMEA,Vendor_04,97.8,Fixed Price,30,49,50.46,2539.19,2520.07,-19.12,0,Paid
INV00125,2025-06-17,BU_Sales,APAC,Vendor_14,46.3,Fixed Price,15,45,42.14,2002.2,2177.88,175.68,8,Pending
INV00126,2025-07-24,BU_Sales,North America,Vendor_41,86.1,Time & Materials,30,46,35.69,1657.42,1714.56,57.14,0,Paid
INV00127,2025-05-10,BU_Fabrication,APAC,Vendor_06,71.5,Fixed Price,60,59,36.8,2229.74,2489.45,259.71,0,Paid
INV00128,2024-09-30,BU_Logistics,EMEA,Vendor_46,64.2,Fixed Price,45,52,56.24,3017.62,3265.59,247.97,0,Paid
INV00129,2025-04-05,BU_Sales,North America,Vendor_36,56.7,Fixed Price,15,59,48.64,2976.15,3214.75,238.6,0,Paid
INV00130,2024-10-09,BU_Fabrication,North America,Vendor_27,57.7,Fixed Price,45,57,60.99,3534.31,3756.73,222.43,6,Pending
INV00131,2024-08-02,BU_R&D,APAC,Vendor_38,45.6,Fixed Price,45,46,62.89,2994.21,3332.29,338.08,0,Paid
INV00132,2025-03-17,BU_IT,EMEA,Vendor_22,71.6,Fixed Price,30,57,55.25,3246.38,3249.5,3.11,0,Paid
INV00133,2025-01-12,BU_Logistics,LATAM,Vendor_16,66.6,Fixed Price,30,48,61.42,3018.66,3264.6,245.94,0,Paid
INV00134,2024-08-23,BU_R&D,APAC,Vendor_46,64.2,Time & Materials,30,38,26.08,1001.39,1134.14,132.74,0,Paid
INV00135,2025-06-30,BU_Logistics,EMEA,Vendor_03,84.7,Fixed Price,90,42,11.38,486.85,505.78,18.94,0,Paid
INV00136,2024-09-21,BU_Sales,North America,Vendor_30,70.6,Fixed Price,15,49,20.13,1018.9,1039.02,20.12,0,Paid
INV00137,2024-10-19,BU_Fabrication,EMEA,Vendor_17,59.8,Fixed Price,45,45,45.13,2106.8,2260.6,153.8,0,Paid
INV00138,2025-01-16,BU_IT,EMEA,Vendor_21,97.0,Time & Materials,60,49,30.11,1531.32,1647.5,116.18,0,Paid
INV00139,2025-05-05,BU_Fabrication,APAC,Vendor_16,66.6,Time & Materials,60,45,6.07,286.32,337.38,51.07,0,Paid
INV00140,2024-09-16,BU_Sales,LATAM,Vendor_49,80.2,Time & Materials,60,72,57.66,4293.03,4698.51,405.48,0,Paid
INV00141,2025-07-22,BU_R&D,LATAM,Vendor_03,84.7,Fixed Price,15,59,43.25,2638.98,2634.24,-4.74,0,Paid
INV00142,2025-03-09,BU_Logistics,North America,Vendor_27,57.7,Fixed Price,45,41,51.45,2094.48,2206.91,112.43,3,Pending
INV00143,2024-09-10,BU_IT,LATAM,Vendor_40,78.0,Time & Materials,30,58,32.09,1808.15,1805.12,-3.03,0,Paid
INV00144,2024-11-27,BU_Sales,APAC,Vendor_30,70.6,Fixed Price,15,55,53.8,3016.56,3102.78,86.21,0,Paid
INV00145,2024-12-26,BU_IT,North America,Vendor_29,66.0,Time & Materials,90,40,67.14,2676.93,3132.19,455.26,1,Pending
INV00146,2025-03-06,BU_R&D,EMEA,Vendor_20,53.8,Fixed Price,30,47,13.67,652.07,690.07,38.0,0,Paid
INV00147,2024-11-30,BU_Sales,APAC,Vendor_37,78.1,Fixed Price,45,39,18.56,747.47,768.82,21.36,4,Pending
INV00148,2025-07-04,BU_Sales,North America,Vendor_37,78.1,Time & Materials,45,65,38.57,2592.35,2690.52,98.17,0,Paid
INV00149,2025-06-07,BU_Sales,LATAM,Vendor_19,61.4,Time & Materials,30,56,26.6,1547.79,1680.97,133.17,0,Paid
INV00150,2024-11-21,BU_Logistics,APAC,Vendor_44,70.5,Time & Materials,45,54,52.2,2838.43,3009.65,171.22,0,Paid
INV00151,2024-10-10,BU_Fabrication,LATAM,Vendor_42,77.6,Fixed Price,45,60,60.97,3692.89,3738.59,45.69,7,Pending
INV00152,2025-02-03,BU_Logistics,North America,Vendor_19,61.4,Fixed Price,30,55,10.58,590.34,606.06,15.72,7,Pending
INV00153,2025-05-04,BU_R&D,EMEA,Vendor_18,79.7,Time & Materials,30,60,31.67,2005.86,2000.53,-5.33,0,Paid
INV00154,2025-04-04,BU_R&D,APAC,Vendor_22,71.6,Time & Materials,30,53,17.83,991.64,1088.43,96.79,5,Pending
INV00155,2024-11-24,BU_Sales,LATAM,Vendor_36,56.7,Fixed Price,45,73,51.21,3809.41,4026.03,216.62,6,Pending
INV00156,2025-05-02,BU_Fabrication,EMEA,Vendor_44,70.5,Time & Materials,30,54,54.15,2891.77,2962.77,71.0,0,Paid
INV00157,2025-06-23,BU_R&D,North America,Vendor_15,49.1,Fixed Price,45,38,40.83,1567.34,1612.58,45.25,0,Paid
INV00158,2025-01-15,BU_IT,North America,Vendor_05,71.5,Time & Materials,30,53,15.54,854.29,900.81,46.52,0,Paid
INV00159,2025-06-29,BU_Sales,North America,Vendor_03,84.7,Time & Materials,30,50,56.53,2896.75,2968.65,71.89,0,Paid
INV00160,2024-09-19,BU_Logistics,LATAM,Vendor_09,68.0,Fixed Price,30,46,38.19,1787.24,1857.48,70.24,0,Paid
INV00161,2025-07-23,BU_IT,EMEA,Vendor_48,90.9,Time & Materials,60,64,37.38,2456.78,2702.36,245.58,0,Paid
INV00162,2025-04-08,BU_IT,EMEA,Vendor_18,79.7,Fixed Price,30,51,9.07,463.07,469.03,5.97,0,Paid
INV00163,2024-11-29,BU_R&D,North America,Vendor_44,70.5,Fixed Price,60,40,33.56,1374.9,1467.57,92.67,0,Paid
INV00164,2024-09-01,BU_Sales,North America,Vendor_08,86.5,Time & Materials,60,66,35.81,2456.57,2668.21,211.64,5,Pending
INV00165,2024-11-17,BU_IT,LATAM,Vendor_04,97.8,Time & Materials,30,54,45.44,2466.04,2536.85,70.82,0,Paid
INV00166,2025-05-17,BU_Logistics,North America,Vendor_49,80.2,Fixed Price,30,60,39.98,2474.12,2491.72,17.59,0,Paid
INV00167,2024-11-28,BU_R&D,APAC,Vendor_39,55.1,Fixed Price,60,49,47.59,2411.11,2758.43,347.32,3,Pending
INV00168,2024-10-06,BU_IT,North America,Vendor_12,68.0,Fixed Price,60,47,33.14,1561.1,1781.3,220.2,4,Pending
INV00169,2025-01-31,BU_Logistics,APAC,Vendor_02,72.9,Fixed Price,15,53,38.58,2057.72,2142.46,84.74,0,Paid
INV00170,2025-04-27,BU_Fabrication,APAC,Vendor_31,66.0,Fixed Price,30,51,29.06,1470.55,1569.21,98.66,0,Paid
INV00171,2025-03-20,BU_IT,North America,Vendor_40,78.0,Fixed Price,45,53,43.76,2392.1,2380.01,-12.09,0,Paid
INV00172,2025-04-24,BU_R&D,EMEA,Vendor_02,72.9,Fixed Price,30,64,60.89,3916.22,3894.24,-21.98,0,Paid
INV00173,2025-07-18,BU_Fabrication,EMEA,Vendor_29,66.0,Fixed Price,15,51,25.41,1305.79,1334.2,28.41,0,Paid
INV00174,2024-09-03,BU_Logistics,North America,Vendor_41,86.1,Fixed Price,45,53,23.42,1241.69,1236.11,-5.58,0,Paid
INV00175,2025-06-02,BU_IT,North America,Vendor_33,74.8,Time & Materials,15,43,21.42,943.62,974.96,31.34,0,Paid
INV00176,2025-07-02,BU_IT,APAC,Vendor_14,46.3,Fixed Price,60,51,37.32,1946.1,2221.3,275.2,0,Paid
INV00177,2025-03-21,BU_Sales,EMEA,Vendor_07,98.7,Fixed Price,30,67,52.58,3621.64,3657.83,36.19,0,Paid
INV00178,2024-10-18,BU_Sales,North America,Vendor_06,71.5,Fixed Price,15,49,57.65,2810.93,2771.97,-38.95,0,Paid
INV00179,2024-10-06,BU_IT,North America,Vendor_36,56.7,Fixed Price,45,57,58.16,3326.7,3542.24,215.54,0,Paid
INV00180,2025-07-07,BU_Sales,LATAM,Vendor_47,68.1,Fixed Price,30,50,15.02,775.6,828.56,52.95,2,Pending
INV00181,2024-09-23,BU_IT,EMEA,Vendor_10,83.1,Time & Materials,30,54,37.58,2014.06,2070.92,56.87,0,Paid
INV00182,2025-05-12,BU_R&D,North America,Vendor_18,79.7,Fixed Price,60,55,36.8,2104.16,2255.83,151.67,0,Paid
INV00183,2025-06-15,BU_IT,APAC,Vendor_36,56.7,Fixed Price,60,40,41.41,1682.92,1915.78,232.86,0,Paid
INV00184,2024-12-15,BU_Fabrication,North America,Vendor_45,52.8,Time & Materials,60,45,8.85,400.0,456.27,56.27,7,Pending
INV00185,2024-11-01,BU_Logistics,APAC,Vendor_26,76.7,Fixed Price,45,54,48.1,2646.44,2781.85,135.41,0,Paid
INV00186,2024-09-16,BU_IT,North America,Vendor_27,57.7,Fixed Price,15,43,19.06,821.02,871.62,50.6,7,Pending
INV00187,2025-01-14,BU_IT,APAC,Vendor_04,97.8,Fixed Price,45,64,59.43,3909.76,4081.16,171.41,4,Pending
INV00188,2024-09-11,BU_R&D,EMEA,Vendor_28,80.6,Fixed Price,30,47,27.61,1275.99,1288.96,12.96,0,Paid
INV00189,2025-04-20,BU_Fabrication,EMEA,Vendor_08,86.5,Fixed Price,45,49,44.07,2204.15,2215.22,11.08,0,Paid
INV00190,2025-07-08,BU_R&D,North America,Vendor_26,76.7,Time & Materials,15,59,60.55,3649.49,3751.75,102.27,0,Paid
INV00191,2024-11-17,BU_Logistics,APAC,Vendor_19,61.4,Fixed Price,15,48,59.63,2953.81,3219.23,265.42,0,Paid
INV00192,2024-10-29,BU_Logistics,EMEA,Vendor_46,64.2,Fixed Price,30,49,47.55,2377.84,2520.08,142.24,0,Paid
INV00193,2025-01-29,BU_Fabrication,EMEA,Vendor_48,90.9,Fixed Price,15,54,19.26,1054.58,1040.86,-13.72,0,Paid
INV00194,2025-01-08,BU_IT,EMEA,Vendor_26,76.7,Time & Materials,30,51,16.32,838.76,860.79,22.03,0,Paid
INV00195,2024-08-11,BU_R&D,North America,Vendor_40,78.0,Fixed Price,45,47,33.55,1583.38,1600.48,17.1,0,Paid
INV00196,2025-03-12,BU_Fabrication,North America,Vendor_38,45.6,Fixed Price,15,54,7.58,415.68,453.02,37.33,0,Paid
INV00197,2025-01-21,BU_Logistics,EMEA,Vendor_11,68.0,Fixed Price,45,42,25.79,1091.32,1157.14,65.82,0,Paid
INV00198,2024-11-08,BU_R&D,EMEA,Vendor_42,77.6,Time & Materials,30,53,41.88,2150.7,2255.41,104.71,0,Paid
INV00199,2024-11-10,BU_Logistics,APAC,Vendor_49,80.2,Time & Materials,15,42,33.08,1384.52,1514.88,130.36,0,Paid
